JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457738.94521	14.440	0.012		V	DKS		000-BBQ-043	000-BBQ-029	14597CF	ERROR: V-C STDDEV+C POISSON IN QUAD;	0	1.139	Z	12.800	14.477		OJ 287	AAVSO	STD				
2457740.45578	14.428	0.008		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.738	Z	-13.537	14.592	2457740.45984	OJ 287	AAVSO	STD				
2457740.46820	14.648	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.608	Z	-13.256	14.926	2457740.47227	OJ 287	AAVSO	STD				
2457740.48036	14.144	0.008		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.503	Z	-13.674	14.492	2457740.48443	OJ 287	AAVSO	STD				
2457740.49259	13.917	0.009		SI	NRNA		000-BBQ-029		X16263DI		0	1.416	Z	-13.449		2457740.49666	OJ 287	AAVSO	STD				
2457740.54888	14.308	0.039		V	ATE		NA	146	X16659HL		0	1.220	Z		14.580	2457740.55295	OJ 287	AAVSO	STD				
2457740.55083	14.320	0.040		V	ATE		NA	146	X16659HL		0	1.213	Z		14.594	2457740.55490	OJ 287	AAVSO	STD				
2457740.55385	14.294	0.037		V	ATE		NA	146	X16659HL		0	1.202	Z		14.569	2457740.55792	OJ 287	AAVSO	STD				
2457740.55664	14.303	0.041		V	ATE		NA	146	X16659HL		0	1.193	Z		14.584	2457740.56071	OJ 287	AAVSO	STD				
2457740.55859	14.305	0.035		V	ATE		NA	146	X16659HL		0	1.187	Z		14.574	2457740.56266	OJ 287	AAVSO	STD				
2457741.42958	14.157	0.016		CV	GFDB		000-BBQ-029		X15647EI		0	2.587	Z	-11.472		2457741.43371	OJ 287	AAM	STD				
2457741.43242	14.123	0.017		CV	GFDB		000-BBQ-029		X15647EI		0	2.510	Z	-11.334		2457741.43655	OJ 287	AAM	STD				
2457741.43524	14.090	0.016		CV	GFDB		000-BBQ-029		X15647EI		0	2.439	Z	-11.394		2457741.43937	OJ 287	AAM	STD				
2457741.43808	14.128	0.016		CV	GFDB		000-BBQ-029		X15647EI		0	2.371	Z	-11.487		2457741.44221	OJ 287	AAM	STD				
2457741.44091	14.163	0.016		CV	GFDB		000-BBQ-029		X15647EI		0	2.308	Z	-11.453		2457741.44504	OJ 287	AAM	STD				
2457741.44375	14.114	0.017		CV	GFDB		000-BBQ-029		X15647EI		0	2.247	Z	-11.365		2457741.44788	OJ 287	AAM	STD				
2457742.675463	14.045	0.097		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.011	Z		13.689		OJ 287	AAVSO	STD				
2457743.39861	14.3	0.05		CV	WKL				1071aobl		0		Z	14.2	14.6		OJ 287	BAV	STD				
2457744.438	14.2			Vis.	PYG	U	R-2		251.02				Z				OJ 287	BAA-VSS	STD				
2457744.44684	14.366	0.015		V	AFSA		NA	000-BLX-797	X19023BEF		0	2.065	Z		13.327	2457744.45117	OJ 287	AAVSO	STD				
2457744.44743	14.361	0.015		V	AFSA		NA	000-BLX-797	X19023BEF		0	2.054	Z		13.327	2457744.45176	OJ 287	AAVSO	STD				
2457744.44803	14.315	0.015		V	AFSA		NA	000-BLX-797	X19023BEF		0	2.043	Z		13.327	2457744.45236	OJ 287	AAVSO	STD				
2457744.44862	14.267	0.015		V	AFSA		NA	000-BLX-797	X19023BEF		0	2.033	Z		13.327	2457744.45295	OJ 287	AAVSO	STD				
2457744.44920	14.346	0.015		V	AFSA		NA	000-BLX-797	X19023BEF		0	2.022	Z		13.327	2457744.45353	OJ 287	AAVSO	STD				
2457744.46837	14.363	0.008		V	NRNA		000-BBQ-029		X16263DI		0	1.511	Z	-13.521		2457744.47271	OJ 287	AAVSO	STD				
2457744.48049	14.631	0.008		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.423	Z	-13.398	14.900	2457744.48483	OJ 287	AAVSO	STD				
2457744.49261	14.178	0.007		SR	NRNA		000-BBQ-029		X16263DI		0	1.350	Z	-13.979		2457744.49695	OJ 287	AAVSO	STD				
2457744.50498	13.958	0.007		R	NRNA		000-BBQ-029		X16263DI		0	1.288	Z	-14.046		2457744.50932	OJ 287	AAVSO	STD				
2457744.51714	13.930	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.237	Z	-13.491	14.404	2457744.52148	OJ 287	AAVSO	STD				
2457745.50975	14.311	0.008		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.255	Z	-13.601	14.626	2457745.51415	OJ 287	AAVSO	STD				
2457745.52308	14.576	0.008		SG	NRNA		000-BBQ-029		X16263DI		0	1.206	Z	-13.502		2457745.52748	OJ 287	AAVSO	STD				
2457745.53635	14.147	0.007		SR	NRNA		000-BBQ-029		X16263DI		0	1.166	Z	-14.047		2457745.54075	OJ 287	AAVSO	STD				
2457745.54965	13.893	0.008		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.134	Z	-13.530	14.403	2457745.55405	OJ 287	AAVSO	STD				
2457745.56291	13.926	0.006		R	NRNA		000-BBQ-029		X16263DI		0	1.110	Z	-14.133		2457745.56732	OJ 287	AAVSO	STD				
